series,season,episode,title,url,rating,votes,date,stardate,director,writer,exact
TOS,3,2,The Enterprise Incident,http://www.imdb.com/title/tt0708464/,8.4,715,27-Sep-68,5027.3,John Meredyth Lucas,D. C. Fontana,58
TOS,3,3,The Paradise Syndrome,http://www.imdb.com/title/tt0708475/,6.8,599,4-Oct-68,4842.6,Jud Taylor,Margaret Armen,59
TOS,3,4,And the Children Shall Lead,http://www.imdb.com/title/tt0708417/,5.4,618,11-Oct-68,5029.5,Marvin Chomsky,Edward J. Lakso,60
TOS,3,5,Is There in Truth No Beauty?,http://www.imdb.com/title/tt0708433/,7,583,18-Oct-68,5630.7,Ralph Senensky,Jean Lisette Aroeste,61
TOS,3,6,Spectre of the Gun,http://www.imdb.com/title/tt0708448/,7.4,625,25-Oct-68,4385.3,Vincent McEveety,Lee Cronin,62
TOS,3,7,Day of the Dove,http://www.imdb.com/title/tt0708427/,7.9,631,1-Nov-68,Unknown,Marvin Chomsky,Jerome Bixby,63
TOS,3,8,For the World Is Hollow and I Have Touched the Sky,http://www.imdb.com/title/tt0708430/,6.9,561,8-Nov-68,5476.3,Tony Leader,Rik Vollaerts,64
TOS,3,9,The Tholian Web,http://www.imdb.com/title/tt0708479/,7.9,626,15-Nov-68,5693.2,Herb Wallerstein,Judy Burns,65
TOS,3,10,Plato's Stepchildren,http://www.imdb.com/title/tt0708443/,6.7,568,22-Nov-68,5784.2,David Alexander,Meyer Dolinsky,66
TOS,3,11,Wink of an Eye,http://www.imdb.com/title/tt0708490/,7.4,542,29-Nov-68,5710.5,Jud Taylor,Lee Cronin,67
TOS,3,12,The Empath,http://www.imdb.com/title/tt0708462/,6.7,588,6-Dec-68,5121.5,John Erman,Joyce Muskat,68
TOS,3,13,Elaan of Troyius,http://www.imdb.com/title/tt0708428/,7.1,558,20-Dec-68,4372.5,John Meredyth Lucas,John Meredyth Lucas,69
TOS,3,14,Whom Gods Destroy,http://www.imdb.com/title/tt0708489/,6.9,533,3-Jan-69,5718.3,Herb Wallerstein,Lee Erwin,70
TOS,3,15,Let That Be Your Last Battlefield,http://www.imdb.com/title/tt0708435/,7.2,594,10-Jan-69,5730.2,Jud Taylor,Lee Cronin,71
TOS,3,16,The Mark of Gideon,http://www.imdb.com/title/tt0708470/,6.7,521,17-Jan-69,5423.4,Jud Taylor,George F. Slavin,72
TOS,3,17,That Which Survives,http://www.imdb.com/title/tt0708450/,6.6,508,24-Jan-69,Unknown,Herb Wallerstein,Michael Richards,73
TOS,3,18,The Lights of Zetar,http://www.imdb.com/title/tt0708468/,6.2,500,31-Jan-69,5725.3,Herb Kenwith,Jeremy Tarcher,74
TOS,3,19,Requiem for Methuselah,http://www.imdb.com/title/tt0708444/,7.7,586,14-Feb-69,5843.7,Murray Golden,Jerome Bixby,75
TOS,3,20,The Way to Eden,http://www.imdb.com/title/tt0708482/,5.5,616,21-Feb-69,5832.3,David Alexander,Michael Richards,76
TOS,3,21,The Cloud Minders,http://www.imdb.com/title/tt0708456/,6.8,516,28-Feb-69,5818.4,Jud Taylor,David Gerrold,77
TOS,3,22,The Savage Curtain,http://www.imdb.com/title/tt0708477/,6.9,532,7-Mar-69,5906.4,Herschel Daugherty,Gene Roddenberry,78
TOS,3,23,All Our Yesterdays,http://www.imdb.com/title/tt0708415/,8.1,613,14-Mar-69,5943.7,Marvin Chomsky,Jean Lisette Aroeste,79
TOS,3,24,Turnabout Intruder,http://www.imdb.com/title/tt0708485/,6.9,554,3-Jun-69,5928.5,Herb Wallerstein,Gene Roddenberry,80
TNG,1,1,Encounter at Farpoint,http://www.imdb.com/title/tt0094030/,6.9,"2,650",28-Sep-87,41153.7,Corey Allen,D. C. Fontana,81
TNG,1,2,The Naked Now,http://www.imdb.com/title/tt0708810/,6.6,867,5-Oct-87,41209.2,Paul Lynch,John D. F. Black,82
TNG,1,3,Code of Honor,http://www.imdb.com/title/tt0708689/,5.3,779,12-Oct-87,41235.25,Russ Mayberry,Katharyn Powers,83
TNG,1,4,The Last Outpost,http://www.imdb.com/title/tt0708804/,6.4,727,19-Oct-87,41386.4,Richard Colla,Richard Krzmeien,84
TNG,1,5,Where No One Has Gone Before,http://www.imdb.com/title/tt0708842/,7.5,780,26-Oct-87,41263.1,Rob Bowman,Diane Duane,85
TNG,1,6,Lonely Among Us,http://www.imdb.com/title/tt0708743/,6.4,652,2-Nov-87,41249.3,Cliff Bole,Michael Halperin,86
TNG,1,7,Justice,http://www.imdb.com/title/tt0708739/,6.1,728,9-Nov-87,41255.6,James L. Conway,Ralph Willis,87
TNG,1,8,The Battle,http://www.imdb.com/title/tt0708784/,7,658,16-Nov-87,41723.9,Rob Bowman,Larry Forrester,88
TNG,1,9,Hide and Q,http://www.imdb.com/title/tt0708728/,7,699,23-Nov-87,41590.5,Cliff Bole,C.J. Holland,89
TNG,1,10,Haven,http://www.imdb.com/title/tt0708725/,6.3,646,30-Nov-87,41294.5,Richard Compton,Tracy Torm,90
TNG,1,11,The Big Goodbye,http://www.imdb.com/title/tt0708787/,7.6,721,11-Jan-88,41997.7,Joseph L. Scanlan,Tracy Torm,91
TNG,1,12,Datalore,http://www.imdb.com/title/tt0708698/,7.7,721,18-Jan-88,41242.4,Rob Bowman,Robert Lewin,92
TNG,1,13,Angel One,http://www.imdb.com/title/tt0708676/,5.6,656,25-Jan-88,41636.9,Michael Rhoades,Patrick Barry,93
TNG,1,14,11001001,http://www.imdb.com/title/tt0708668/,7.6,714,1-Feb-88,41365.9,Paul Lynch,Maurice Hurley,94
TNG,1,15,Too Short a Season,http://www.imdb.com/title/tt0708832/,6.1,637,8-Feb-88,41309.5,Rob Bowman,Michael Michaelian,95
TNG,1,16,When the Bough Breaks,http://www.imdb.com/title/tt0708841/,6.3,623,15-Feb-88,41509.1,Kim Manners,Hannah Louise Shearer,96
TNG,1,17,Home Soil,http://www.imdb.com/title/tt0708730/,6.8,600,22-Feb-88,41463.9,Corey Allen,Karl Geurs,97
TNG,1,18,Coming of Age,http://www.imdb.com/title/tt0708690/,7,620,14-Mar-88,41416.2,Mike Vejar,Sandy Fries,98
