series,season,episode,title,imdb url,user rating,user votes,date,stardate,director,writer,featured characters,main cast,recurring cast,,
TOS,1,27,The Alternative Factor,http://www.imdb.com/title/tt0708451/,6,758,30-Mar-67,3087.6,Gerd Oswald,Don Ingalls,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,28,The City on the Edge of Forever,http://www.imdb.com/title/tt0708455/,8.7,"1,408",6-Apr-67,3134,Joseph Pevney,Harlan Ellison,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,29,Operation - Annihilate!,http://www.imdb.com/title/tt0708441/,7.5,682,13-Apr-67,3287.2,Herschel Daugherty,Steven W. Carabatsos,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,2,1,Amok Time,http://www.imdb.com/title/tt0708416/,8.6,935,15-Sep-67,3372.7,Joseph Pevney,Theodore Sturgeon,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,2,Who Mourns for Adonais?,http://www.imdb.com/title/tt0708488/,7,750,22-Sep-67,3468.1,Marc Daniels,Gilbert Ralston,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,3,The Changeling,http://www.imdb.com/title/tt0708454/,7.7,675,29-Sep-67,3541.9,Marc Daniels,John Meredyth Lucas,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,4,"Mirror, Mirror",http://www.imdb.com/title/tt0708438/,8.6,"1,044",6-Oct-67,Unknown,Marc Daniels,Jerome Bixby,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,5,The Apple,http://www.imdb.com/title/tt0708452/,6.4,654,13-Oct-67,3715.3,Joseph Pevney,Max Ehrlich,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,6,The Doomsday Machine,http://www.imdb.com/title/tt0708461/,8.7,907,20-Oct-67,4202.9,Marc Daniels,Norman Spinrad,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,7,Catspaw,http://www.imdb.com/title/tt0708423/,6.3,651,27-Oct-67,3018.2,Joseph Pevney,Robert Bloch,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,8,"I, Mudd",http://www.imdb.com/title/tt0708432/,7.5,695,3-Nov-67,4513.3,Marc Daniels,Stephen Kandel,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,9,Metamorphosis,http://www.imdb.com/title/tt0708436/,7.3,665,10-Nov-67,3219.4,Ralph Senensky,Gene L. Coon,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,10,Journey to Babel,http://www.imdb.com/title/tt0708434/,8.5,737,17-Nov-67,3842.3,Joseph Pevney,D. C. Fontana,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,11,Friday's Child,http://www.imdb.com/title/tt0708431/,6.9,620,1-Dec-67,3497.2,Joseph Pevney,D. C. Fontana,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,12,The Deadly Years,http://www.imdb.com/title/tt0708459/,7.3,624,8-Dec-67,3478.2,Joseph Pevney,David P. Harmon,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,13,Obsession,http://www.imdb.com/title/tt0708440/,7.3,577,15-Dec-67,3619.2,Ralph Senensky,Art Wallace,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,14,Wolf in the Fold,http://www.imdb.com/title/tt0708491/,7.4,646,22-Dec-67,3614.9,Joseph Pevney,Robert Bloch,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,15,The Trouble with Tribbles,http://www.imdb.com/title/tt0708480/,8.6,"1,019",29-Dec-67,4523.3,Joseph Pevney,David Gerrold,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,16,The Gamesters of Triskelion,http://www.imdb.com/title/tt0708466/,6.8,633,5-Jan-68,3211.7,Gene Nelson,Margaret Armen,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,17,A Piece of the Action,http://www.imdb.com/title/tt0708412/,7.8,712,12-Jan-68,4598,James Komack,David P. Harmon,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,18,The Immunity Syndrome,http://www.imdb.com/title/tt0708467/,7.4,596,19-Jan-68,4307.1,Joseph Pevney,Robert Sabaroff,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
TOS,2,19,A Private Little War,http://www.imdb.com/title/tt0708413/,6.9,571,2-Feb-68,4211.4,Marc Daniels,Jud Crucis,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Walter Koenig as Chekov, Majel Barrett as Chapel",?,,
